Mixing_Time,Active_1,Active_2,RM_3,RM_4,Active_3,RM_6,RM_7,RM_8,Active_4,Water,Crashout,Viscosity,PC_1-4,PC_2-4,PC_3-4,PC_4-4,PC_1-5,PC_2-5,PC_3-5,PC_4-5,PC_5-5
1.5,0,4.0,1.28,1.61,3.0,11.11,3.61,1.36,25.0,49.02,0.0,9356,-2.902779893030011,-1.8716571708539604,0.08618004744950909,-0.0224134108211622,-2.902779893030011,-1.8716571708539604,0.08618004744950909,-0.0224134108211622,0.38305240476867153
1.5,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28.0,46.62,0.0,8039,-2.6156629931421413,-0.4584773868135962,-0.011650165756276093,-0.07744895992192098,-2.6156629931421413,-0.4584773868135962,-0.011650165756276093,-0.07744895992192098,0.15517267465985407
1.5,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0.0,7275,-2.6321656442006827,0.07503659359131774,-0.05026905230045608,-0.14361404814453385,-2.6321656442006827,0.07503659359131774,-0.05026905230045608,-0.14361404814453385,-0.39403961596364556
1.5,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0.0,7199,-2.6104663344495,-0.007928636848697709,-0.04856779359740616,-0.1425275338057313,-2.6104663344495,-0.007928636848697709,-0.04856779359740616,-0.1425275338057313,-0.37639831344601227
2.0,0,2.0,1.28,1.61,1.5,11.11,3.61,1.36,40.0,37.52,0.0,1643,-1.3168142066059727,5.426819990528379,-0.9264895211396142,0.3099447093532836,-1.3168142066059727,5.426819990528379,-0.9264895211396142,0.3099447093532836,0.5317831948494671
2.0,0,4.0,1.28,1.61,3.0,11.11,3.61,1.36,25.0,49.02,0.0,9844,-2.919576746918318,-1.8933622450785559,-0.4521767433009303,0.4436907968789765,-2.919576746918318,-1.8933622450785559,-0.4521767433009303,0.4436907968789765,0.34480823791228404
2.0,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28.0,46.62,0.0,8717,-2.6324598470304488,-0.48018246103819157,-0.5500069565067153,0.38865524777821786,-2.6324598470304488,-0.48018246103819157,-0.5500069565067153,0.38865524777821786,0.11692850780346656
2.0,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0.0,7591,-2.6489624980889905,0.05333151936672231,-0.5886258430508956,0.322490159555605,-2.6489624980889905,0.05333151936672231,-0.5886258430508956,0.322490159555605,-0.4322837828200331
2.0,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0.0,7371,-2.6272631883378077,-0.029633711073293375,-0.5869245843478453,0.32357667389440753,-2.6272631883378077,-0.029633711073293375,-0.5869245843478453,0.32357667389440753,-0.4146424803023998
2.5,0,2.0,1.28,1.61,1.5,11.11,3.61,1.36,40.0,37.52,0.0,1281,-1.333611060494281,5.405114916303785,-1.4648463118900537,0.7760489170534226,-1.333611060494281,5.405114916303785,-1.4648463118900537,0.7760489170534226,0.49353902799307975
2.5,0,4.0,1.28,1.61,3.0,11.11,3.61,1.36,25.0,49.02,0.0,9635,-2.9363736008066272,-1.9150673193031518,-0.9905335340513693,0.9097950045791152,-2.9363736008066272,-1.9150673193031518,-0.9905335340513693,0.9097950045791152,0.30656407105589667
2.5,0,3.75,1.28,1.61,2.65,11.11,3.61,1.36,28.0,46.62,0.0,8539,-2.6492567009187575,-0.501887535262787,-1.0883637472571543,0.8547594554783562,-2.6492567009187575,-0.501887535262787,-1.0883637472571543,0.8547594554783562,0.07868434094707911
2.5,0,3.9,1.28,1.61,2.55,11.11,3.61,1.36,29.5,45.07,0.0,7228,-2.665759351977299,0.03162644514212732,-1.126982633801335,0.7885943672557437,-2.665759351977299,0.03162644514212732,-1.126982633801335,0.7885943672557437,-0.47052794967642075
2.5,0,3.91,1.28,1.61,2.51,11.11,3.61,1.36,29.24,45.36,0.0,6860,-2.644060042226116,-0.051338785297888614,-1.1252813750982849,0.7896808815945461,-2.644060042226116,-0.051338785297888614,-1.1252813750982849,0.7896808815945461,-0.45288664715878735
0.5,1,3.89,1.17,1.5,2.89,11.0,3.5,1.25,24.89,48.91,0.0314,3642,-2.1157255424580703,-1.7826997923042474,1.3719113088500619,-0.6866249921942428,-2.1157255424580703,-1.7826997923042474,1.3719113088500619,-0.6866249921942428,0.4269860618200236
0.5,1,3.64,1.17,1.5,2.54,11.0,3.5,1.25,27.89,46.51,0.2276,2492,-1.3948731444346016,-0.29977711853974953,3.097172685655524,1.3564782336531191,-1.3948731444346016,-0.29977711853974953,3.097172685655524,1.3564782336531191,-0.12110305741476131
0.5,1,3.79,1.17,1.5,2.44,11.0,3.5,1.25,29.39,44.96,0.0287,2056,-1.851080130759048,0.16303420760354156,1.2103737927237956,-0.836699098897634,-1.851080130759048,0.16303420760354156,1.2103737927237956,-0.836699098897634,-0.3456994076857888
0.5,1,3.8,1.17,1.5,2.4,11.0,3.5,1.25,29.13,45.25,0.1036,1905,-1.6638008576523282,0.10669355637014045,1.9080463057175818,-0.03464115620198024,-1.6638008576523282,0.10669355637014045,1.9080463057175818,-0.03464115620198024,-0.4502991003033991
1.0,1,1.89,1.17,1.5,1.39,11.0,3.5,1.25,39.89,37.41,0.2266,1036,-0.09823503831706554,5.5851647904550115,2.1730413242068893,1.7331780253801683,-0.09823503831706554,5.5851647904550115,2.1730413242068893,1.7331780253801683,0.25713951878466684
1.0,1,3.89,1.17,1.5,2.89,11.0,3.5,1.25,24.89,48.91,0.0373,7767,-2.119479381876449,-1.802307603280258,0.8883773538848746,-0.1574269069599861,-2.119479381876449,-1.802307603280258,0.8883773538848746,-0.1574269069599861,0.37911276450571973
1.0,1,3.64,1.17,1.5,2.54,11.0,3.5,1.25,27.89,46.51,0.0229,4797,-1.864196280016881,-0.3942465634398308,0.6567422533388151,-0.3664542927541845,-1.864196280016881,-0.3942465634398308,0.6567422533388151,-0.3664542927541845,0.17473464093825833
